pair_key,프로필,좋아하는_게임,좋아하는_게임_장르,좋아하는_게임_설명,추천_게임,추천_게임_장르,추천_게임_설명,적합도,이유태그,메모
B0001,A11,Garry's Mod / Team Fortress 2 / Left 4 Dead 2,"캐주얼, 인디, 시뮬레이션 / 액션, 무료 플레이 / 액션","[Garry's Mod] Garry's Mod is a physics sandbox. There aren't any predefined aims or goals. We give you the tools and leave you to play. ‖ [Team Fortress 2] 다양한 전술적 능력과 뚜렷한 개성을 갖춘 9가지 병과의 캐릭터를 플레이하세요. 끊임없이 업데이트되는 새로운 게임 모드, 맵, 장비 그리고 가장 중요한 모자까지 지금 바로 즐겨보세요! ‖ [Left 4 Dead 2] Set in the zombie apocalypse, Left 4 Dead 2 is a co-operative action horror FPS takes you and your friends through the cities, swamps and cemeteries of the Deep South, from Savanna",DeadPoly,"액션, 어드벤처, 캐주얼, 인디, 대규모 멀티플레이어, RPG, 앞서 해보기","DeadPoly is a polygon arcade zombie survival looter shooter with base building, crafting, scavenging, leveling, questing, and more, but your only goal is survival, everything else is optional.",2,,
B0002,A05,Cities: Skylines / Factorio / Farming Simulator 22,"시뮬레이션, 전략 / 캐주얼, 인디, 시뮬레이션, 전략 / 시뮬레이션","[Cities: Skylines] Cities: Skylines is a modern take on the classic city simulation. The game introduces new game play elements to realize the thrill and hardships of creating and maintaining a real  ‖ [Factorio] Factorio는 무한한 2D 세상에서 복잡성이 증가하는 아이템을 생산하기 위해 자동화 공장을 만드는 게임입니다. - 당신의 상상력으로 공장을 설계, 독창적인 방법으로 간단한 요소를 결합하고 마지막엔 당신을 좋아하지 않는 생물들로 부터 공장을 지키세요. ‖ [Farming Simulator 22] 농장을 만들고 농사를 즐기세요! 작물을 수확하고, 동물을 돌보고, 생산을 관리하고, 계절에 따른 어려움을 이겨내세요.",Final Factory,"시뮬레이션, 전략, 앞서 해보기","Final Factory blends factory building, spaceship design, and a rich universe to explore. Build a mega factory and command a massive fleet against the hostile local aliens. Discover new technologies and unlock the secrets of an ancient civilization as you explore an infinite cosmos.",3,,
B0003,A11,Garry's Mod / Team Fortress 2 / Left 4 Dead 2,"캐주얼, 인디, 시뮬레이션 / 액션, 무료 플레이 / 액션","[Garry's Mod] Garry's Mod is a physics sandbox. There aren't any predefined aims or goals. We give you the tools and leave you to play. ‖ [Team Fortress 2] 다양한 전술적 능력과 뚜렷한 개성을 갖춘 9가지 병과의 캐릭터를 플레이하세요. 끊임없이 업데이트되는 새로운 게임 모드, 맵, 장비 그리고 가장 중요한 모자까지 지금 바로 즐겨보세요! ‖ [Left 4 Dead 2] Set in the zombie apocalypse, Left 4 Dead 2 is a co-operative action horror FPS takes you and your friends through the cities, swamps and cemeteries of the Deep South, from Savanna",Space Rangers HD: A War Apart,"액션, 어드벤처, RPG, 시뮬레이션, 전략","Space adventure, open world RPG, strategy, arcade, quest and more!",1,IRRELEVANT,
B0004,A18,Sid Meier’s Civilization® VI / XCOM® 2 / Stellaris,"전략 / 전략 / 시뮬레이션, 전략","[Sid Meier’s Civilization® VI] 문명 VI 에서는 새로운 방식으로 세상과 소통하고, 제국의 영토를 확장시키며, 문화를 발전시키고, 역사속 위대한 지도자들에 맞서 오래도록 지속될 나만의 문명을 건설해볼 수 있습니다. 클레오파트라를 비롯한 20명의 역사 속 지도자들 중 한명으로 플레이 해보세요. ‖ [XCOM® 2] XCOM 2는 수상 경력이 있는 전략 게임 XCOM: Enemy Unknown의 속편입니다. 인류가 외계인 침략군에게 항복한 지 20년, 이제 지구 상에는 새로운 세계 질서가 존재합니다. 수년간을 어둠 속에서 숨어 있었던 XCOM 부대는 반드시 일어나 외계인의 지배를 무너뜨릴 것입니다. ‖ [Stellaris] 항성간 여행을 통해 우주를 탐험하며 수많은 종족들도 만나보세요. 과학선을 보내 우주를 조사하고 탐험하면서 은하 제국을 건설하고, 건축선을 보내 새로 발견한 행성에 기지를 건설하세요. 소속 사회를 위한 탐험에 나서 매장된 보물과 은하계의 경이를 발견하고, 탐험가의 한계치와 진화 범위를 설정하세요. 동맹이 체결되고, 전쟁이 ",M.A.X.: Mechanized Assault & Exploration,"액션, 전략","Colonize newly-discovered planets, control the resources found there, and defend your colony against other rival factions in real-time or turn-based action.",3,,
B0005,A17,Counter-Strike 2 / PUBG: BATTLEGROUNDS / 톰 클랜시의 레인보우식스 시즈,"액션, 무료 플레이 / 액션, 어드벤처, 대규모 멀티플레이어, 무료 플레이 / 액션, 무료 플레이","[Counter-Strike 2] Counter-Strike는 20년이 넘는 시간 동안 전 세계 수백만 명의 플레이어가 모여 수준 높은 경쟁을 펼칠 수 있는 플랫폼을 제공해 왔습니다. 그리고 이제 곧 Counter-Strike 2와 함께 새로운 CS 시대의 막이 열립니다. ‖ [PUBG: BATTLEGROUNDS] 배틀로얄 유행의 시작이자, 그 정수를 보여준 PUBG: 배틀그라운드를 지금 무료로 플레이하세요! 다양한 맵에 낙하하여 무기와 보급품을 확보하고, 점점 줄어드는 블루존 속에서 끝까지 살아남아 승리를 쟁취하세요. ‖ [톰 클랜시의 레인보우식스 시즈] 톰 클랜시의 레인보우식스 시즈는 탁월한 계획과 기술이 승부를 좌우하는 전술적인 정예 팀 기반 슈팅 게임입니다.",Red Orchestra 2: Heroes of Stalingrad with Rising Storm,"액션, 대규모 멀티플레이어, 시뮬레이션",Contains full Rising Storm content as well!,3,,
B0006,A11,Garry's Mod / Team Fortress 2 / Left 4 Dead 2,"캐주얼, 인디, 시뮬레이션 / 액션, 무료 플레이 / 액션","[Garry's Mod] Garry's Mod is a physics sandbox. There aren't any predefined aims or goals. We give you the tools and leave you to play. ‖ [Team Fortress 2] 다양한 전술적 능력과 뚜렷한 개성을 갖춘 9가지 병과의 캐릭터를 플레이하세요. 끊임없이 업데이트되는 새로운 게임 모드, 맵, 장비 그리고 가장 중요한 모자까지 지금 바로 즐겨보세요! ‖ [Left 4 Dead 2] Set in the zombie apocalypse, Left 4 Dead 2 is a co-operative action horror FPS takes you and your friends through the cities, swamps and cemeteries of the Deep South, from Savanna",Totally Accurate Battlegrounds,"액션, 인디, 무료 플레이","Grab your balloon crossbow and trusty inflatable hammer, because things are about to get wobbly! Be the last weirdo standing in the world-leading physics-based Battle Royale game.",2,,
B0007,A02,Still Life / Jenny LeClue - Detectivu / Telling Lies,"어드벤처 / 액션, 어드벤처, 캐주얼, 인디 / 어드벤처, 인디, 시뮬레이션",[Still Life] Still Life 2 also now available! ‖ [Jenny LeClue - Detectivu] Jenny LeClue - Detectivu는 조사와 선택지로 가득한 스릴 넘치는 미스터리 어드벤처 게임입니다. ‖ [Telling Lies] 네 명의 삶. 그리고 하나의 큰 거짓말. 아무도 모르게 녹화된 은밀한 대화를 들으며 진실을 알아내십시오. 큰 호평을 받았던 Her Story의 계승작입니다.,Mystik Belle,"액션, 어드벤처, 인디, RPG","A colorful pixel-art metroidvania/point-and-click adventure hybrid about magic, cute witches and joys of vandalism.",1,IRRELEVANT,
B0008,A18,Sid Meier’s Civilization® VI / XCOM® 2 / Stellaris,"전략 / 전략 / 시뮬레이션, 전략","[Sid Meier’s Civilization® VI] 문명 VI 에서는 새로운 방식으로 세상과 소통하고, 제국의 영토를 확장시키며, 문화를 발전시키고, 역사속 위대한 지도자들에 맞서 오래도록 지속될 나만의 문명을 건설해볼 수 있습니다. 클레오파트라를 비롯한 20명의 역사 속 지도자들 중 한명으로 플레이 해보세요. ‖ [XCOM® 2] XCOM 2는 수상 경력이 있는 전략 게임 XCOM: Enemy Unknown의 속편입니다. 인류가 외계인 침략군에게 항복한 지 20년, 이제 지구 상에는 새로운 세계 질서가 존재합니다. 수년간을 어둠 속에서 숨어 있었던 XCOM 부대는 반드시 일어나 외계인의 지배를 무너뜨릴 것입니다. ‖ [Stellaris] 항성간 여행을 통해 우주를 탐험하며 수많은 종족들도 만나보세요. 과학선을 보내 우주를 조사하고 탐험하면서 은하 제국을 건설하고, 건축선을 보내 새로 발견한 행성에 기지를 건설하세요. 소속 사회를 위한 탐험에 나서 매장된 보물과 은하계의 경이를 발견하고, 탐험가의 한계치와 진화 범위를 설정하세요. 동맹이 체결되고, 전쟁이 ",Codex of Victory,"인디, 전략","In this sci-fi turn-based strategy with real-time base-building elements, you’ll be defending human territories against the transhuman Augments. Expand your HQ, and manufacture and upgrade an army of advanced drones to wage interplanetary war for Humanity!",3,,
B0009,A03,ELDEN RING / Disco Elysium - The Final Cut / Outer Wilds,"액션, RPG / RPG / 액션, 어드벤처","[ELDEN RING] 본 게임은 본격적인 다크 판타지 세계를 무대로 한 액션 RPG입니다. 드넓은 필드와 던전 탐험을 통해 미지의 것들을 발견해 보세요. 앞길을 막아서는 난관과 그것을 극복했을 때의 달성감, 그리고 등장인물들의 의도가 교착하는 군상극도 즐기실 수 있습니다. ‖ [Disco Elysium - The Final Cut] 디스코 엘리시움 - 최종판은 획기적인 오픈 월드 롤플레잉 게임입니다. 당신은 독특한 스킬 시스템을 갖춘 형사로서 오롯한 도시 블록을 당신의 미래를 닦기 위해 다듬을 수 있습니다. 잊지 못할 등장인물들을 심문하거나, 살인 사건을 해결하거나, 뇌물을 받으세요. 영웅이 되거나 인류의 완전한 재앙이 되세요. ‖ [Outer Wilds] Giant Bomb, Polygon, Eurogamer, The Guardian에 의해 2019년 올해의 게임에 이름을 올리며 냉정한 호평과 수상 실적이 있는 Outer Wilds는 무한 시간 루프에 갇힌 태양계에 관한 공개된 세계의 미스터리 게임입니다.",Who's Lila?,"어드벤처, 캐주얼, 인디, RPG","A reverse-detective adventure, where you control your character's face",2,,
B0010,A17,Counter-Strike 2 / PUBG: BATTLEGROUNDS / 톰 클랜시의 레인보우식스 시즈,"액션, 무료 플레이 / 액션, 어드벤처, 대규모 멀티플레이어, 무료 플레이 / 액션, 무료 플레이","[Counter-Strike 2] Counter-Strike는 20년이 넘는 시간 동안 전 세계 수백만 명의 플레이어가 모여 수준 높은 경쟁을 펼칠 수 있는 플랫폼을 제공해 왔습니다. 그리고 이제 곧 Counter-Strike 2와 함께 새로운 CS 시대의 막이 열립니다. ‖ [PUBG: BATTLEGROUNDS] 배틀로얄 유행의 시작이자, 그 정수를 보여준 PUBG: 배틀그라운드를 지금 무료로 플레이하세요! 다양한 맵에 낙하하여 무기와 보급품을 확보하고, 점점 줄어드는 블루존 속에서 끝까지 살아남아 승리를 쟁취하세요. ‖ [톰 클랜시의 레인보우식스 시즈] 톰 클랜시의 레인보우식스 시즈는 탁월한 계획과 기술이 승부를 좌우하는 전술적인 정예 팀 기반 슈팅 게임입니다.",BATTALION: Legacy,"액션, 무료 플레이",BATTALION: Legacy recaptures the core of classic shooters in the final iteration of Battalion 1944. Return to the simple days of playing first person shooters with your friends. Grab your bolt action rifle in 'rifles only' mode or compete in 5v5 Search and Destroy.,3,,
