pair_key,프로필,좋아하는_게임,좋아하는_게임_장르,추천_게임,추천_게임_장르,추천_게임_설명,적합도,이유태그,메모
B0001,A12,Into the Breach / Monster Train / Mini Metro,"인디, RPG, 시뮬레이션, 전략 / 전략 / 인디, 시뮬레이션, 전략","Warhammer 40,000: Mechanicus",전략,제국에서 가장 기술적으로 진보된 군대인 어뎁투스 메카니쿠스를 장악하세요. 이 턴 기반 전술 게임에서 여러분이 내린 모든 결정은 미션 결과에 크게 영향을 미칠 것입니다. 옴니시아의 축복을 받으시겠어요?,,,
B0002,A12,Into the Breach / Monster Train / Mini Metro,"인디, RPG, 시뮬레이션, 전략 / 전략 / 인디, 시뮬레이션, 전략",Monster Slayers,"액션, 인디",Monster Slayers is a rogue-like deck-building RPG adventure. Create a hero and choose your path through the perilous Northern Valley as you battle to become a true Monster Slayer.,,,
B0003,A20,A Short Hike / ISLANDERS / Gorogoa,"어드벤처, 인디 / 캐주얼, 인디, 전략 / 어드벤처, 캐주얼, 인디",The Legend of Bum-Bo,"어드벤처, 인디, 전략",A puzzle based deck building rogue-like prequel to The Binding of Isaac... Made of cardboard!,,,
B0004,A16,Raft / Stardew Valley / Counter-Strike 2,"어드벤처, 인디, 시뮬레이션 / 인디, RPG, 시뮬레이션 / 액션, 무료 플레이",Farlands,"캐주얼, 인디, RPG, 시뮬레이션","Congratulations, you’ve bought your own planet! An agrarian rock at the edge of the galaxy that, for some reason, was practically being given away for free. So the time has come to leave your hectic, stressful life in an overcrowded metropolis for a more rural and rewarding life.",,,
B0005,A09,DARK SOULS™ III / Fallout 4 / The Forest,"액션 / RPG / 액션, 어드벤처, 인디, 시뮬레이션",Dark and Light,"액션, 어드벤처, 대규모 멀티플레이어, RPG, 시뮬레이션, 앞서 해보기","는Unreal Engine 4로제작된샌드박스형 RPG로서환상적이고방대한오픈월드를구현하고있다. 현실감넘치는기후시스템, 광활한오픈월드, 다양한생명체및스릴넘치는서바이벌콘텐츠가있을뿐만아니라높은자유도를제공하는건축시스템, 독자적인스킬시스템, 펫시스템, 채집제작등멀티형경영시스템도체험할수있다.또한대규모진영대전과자유로운마법전장은 PK의모든것을담아냈다. 생존,탐험,협력,정복..!새로운세계의개척자가될것인지아니면이땅의수호자될것인지..!세계의어둠(Dark)과빛(Light)의운명을스스로결정해보자!",,,
B0006,A09,DARK SOULS™ III / Fallout 4 / The Forest,"액션 / RPG / 액션, 어드벤처, 인디, 시뮬레이션",Half-Life,액션,"50개 이상의 언론사에서 올해의 게임으로 선정된 Valve의 데뷔 타이틀로서, 수상 경력에 빛나는 기술력이 결합된 액션과 어드벤처가 플레이어의 생존 본능을 자극하며 놀랍도록 현실적인 세계를 선사합니다. 전 세계의 플레이어와 친구 또는 적이 될 수 있는 흥미진진한 멀티플레이어 모드도 포함되어 있습니다.",,,
B0007,A12,Into the Breach / Monster Train / Mini Metro,"인디, RPG, 시뮬레이션, 전략 / 전략 / 인디, 시뮬레이션, 전략",마녀: 종말의 여행,"인디, RPG, 전략","타락한 심연, 그리고 부활하는 종말의 마녀들.당신은 그들의 운명을 짜는 자가 되어, 카드를 조합해 무한한 가능성을 펼칩니다.직접 만든 카드와 일정을 통해 마녀들을 성장시키고, 전략 전투에서 매 순간의 선택을 즐기세요.희망을 찾을 것인가, 종말을 맞을 것인가—진실은 심연 속에 잠들어 있습니다.",,,
B0008,A03,DARK SOULS™ III / The Witcher 3: Wild Hunt / The Elder Scrolls V: Skyrim Special Edition,액션 / RPG / RPG,붉은사막,"액션, 어드벤처","파이웰 대륙을 배경으로 펼쳐지는 오픈월드 액션 어드벤쳐 게임, 붉은사막. 여러분은 회색갈기 클리프가 되어, 잃어버린 모든 것을 되찾고 다가오는 위협으로부터 세상을 구하기 위한 여정을 떠나게 됩니다. 광활한 야생, 숨겨진 고대 유적, 신비로운 어비스의 영역을 누비며 싸우고, 탐험하고, 발견하며 자신만의 길을 만들어 가세요.",,,
B0009,A17,Counter-Strike 2 / PUBG: BATTLEGROUNDS / Stardew Valley,"액션, 무료 플레이 / 액션, 어드벤처, 대규모 멀티플레이어, 무료 플레이 / 인디, RPG, 시뮬레이션",콜 오브 듀티®: 워존,"액션, 무료 플레이","방대한 무료 플레이 전장, 콜 오브 듀티®: 워존에 오신 것을 환영합니다.",,,
B0010,A13,Sid Meier's Civilization® V / Europa Universalis IV / Human Fall Flat,"전략 / 시뮬레이션, 전략 / 어드벤처, 캐주얼, 인디, 시뮬레이션",Europa Universalis V,전략,"Paradox Interactive의 대표적인 역사 대전략 게임, Europa Universalis의 최신 버전에서 전쟁, 교역 또는 외교를 활용해 위대한 야망을 충족하고 5세기에 걸친 역사를 지배하세요.",,,
B0011,A20,A Short Hike / ISLANDERS / Gorogoa,"어드벤처, 인디 / 캐주얼, 인디, 전략 / 어드벤처, 캐주얼, 인디",AER Memories of Old,"어드벤처, 인디","새로 변신하여 하늘을 날고 탐험하며, 활기가 넘치는 하늘의 떠다니는 섬 세계를 경험하세요. 잃어버린 고대 유적지로 모험을 떠나, 세상의 끝에 한 발 더 가까이 다가가세요.",,,
B0012,A02,Salt and Sanctuary,"액션, 인디, RPG",DARK SOULS™ II,"액션, RPG",FROM SOFTWARE에서 개발한 DARK SOULS™ II는 2011년에 출시되어 큰 인기를 누린 Dark Souls™의 속편입니다. 특유의 전통 방식 액션 RPG는 도전 의식을 고취시키고 강한 성취감을 느끼게 함으로써 세계 각지의 게이머 마음을 사로잡았습니다. Dark Souls™ II는 싱글 플레이와 멀티 플레이 모두에서 명성이 자자한 이 시리즈 특유의 난이도와 눈을 떼지 못하게 하는 게임 플레이를 선보일 것입니다. 어둠의 여정에 동참해 FROM SOFTWARE만이 제공할 수 있는 압도적인 적과 악마의 위협 그리고 끊임없는 ,,,
B0013,A23,No Man's Sky / 서브노티카 / Slime Rancher,"액션, 어드벤처 / 어드벤처, 인디 / 액션, 어드벤처, 인디, 시뮬레이션",Elite Dangerous,"액션, 어드벤처, 대규모 멀티플레이어, RPG, 시뮬레이션, 전략","함선을 조종하며 끊임없이 변화하는 은하에서 나만의 길을 개척하세요. 전투, 채굴, 무역의 기술을 마스터하거나, 1:1 스케일로 구현된 우주를 탐험하며 미지의 영역으로 나아가세요.",,,
B0014,A01,The Forest / 7 Days to Die / Sid Meier’s Civilization® VI,"액션, 어드벤처, 인디, 시뮬레이션 / 액션, 어드벤처, 인디, RPG, 시뮬레이션, 전략 / 전략",Mist Survival,"액션, 어드벤처, 인디, 시뮬레이션, 앞서 해보기","MIST SURVIVAL is a Single-player, survival stealth sandbox game Players will experience the Apocalypse stimulation in the form of virus pandemic, the players have to deal with it to survive through the difficulties such as finding shelter and food, threats from the environment and climate: wild anim",,,
B0015,A06,Death's Door / Children of Morta / Roboquest / Spelunky 2 / Nuclear Throne / Streets of Rogue / Neon Abyss / Curse of the Dead Gods / Rogue Legacy 2 / Have a Nice Death,"액션, 어드벤처, 인디, RPG / 액션, 어드벤처, 인디, RPG / 액션, 인디 / 액션, 인디 / 액션, 인디, RPG / 액션, 어드벤처, 인디, RPG / 액션, 어드벤처, 인디, RPG / 액션, 어드벤처 / 액션, 어드벤처, 인디, RPG / 액션, 인디",Dungreed,"액션, 인디","Dungreed는 2D 로그라이트 요소가 가미된 2D 횡스크롤 액션 게임입니다. 여러분은 모험가가 되어 마을을 파괴한 끊임없이 변화하는 던전을 탐험해야 합니다. 적들을 때려잡고, 다양한 무기와 마법을 사용하고, 음식을 먹어 던전 안의 악을 물리치세요!",,,
B0016,A11,Opus Magnum,"인디, 시뮬레이션",Turing Complete,"시뮬레이션, 앞서 해보기",Learn CPU architecture with puzzles,,,
B0017,A14,Euro Truck Simulator 2 / BeamNG.drive / 아세토 코르사 Assetto Corsa,"인디, 시뮬레이션 / 레이싱, 시뮬레이션, 앞서 해보기 / 인디, 레이싱, 시뮬레이션, 스포츠",Taxi Life: A City Driving Simulator,시뮬레이션,자신의 자동차와 회사의 운전대를 잡고 바르셀로나 곳곳으로 승객을 나르며 회사를 성장시키세요! 잠들지 않는 도시의 교통 문제를 완화하는 데 이바지할 수 있을까요?,,,
B0018,A05,Hearts of Iron IV / Europa Universalis IV / Sid Meier's Civilization® V,"시뮬레이션, 전략 / 시뮬레이션, 전략 / 전략",Astrobuilder,"시뮬레이션, 앞서 해보기","Navigate a living, AI-driven universe spanning 150+ planets and 600+ intelligent NPCs. Rise from a rookie trader to a galactic tycoon: manage storefronts, forge a Commerce Guild, and become the nexus between Factions, steering the fate of the Galaxy.",,,
B0019,A16,Raft / Stardew Valley / Counter-Strike 2,"어드벤처, 인디, 시뮬레이션 / 인디, RPG, 시뮬레이션 / 액션, 무료 플레이",My Time at Portia,"어드벤처, 캐주얼, 인디, RPG, 시뮬레이션","아름다운 Portia 마을에서 새 삶을 시작하세요! 아버지가 방치한 작업장에서 제작을 부탁받고, 작물을 키우고, 가축을 기르고, 아름다운 세기말의 땅에서 특이한 친구들을 사귀며 작업장을 예전의 멋진 모습으로 복원하세요.",,,
B0020,A23,No Man's Sky / 서브노티카 / Slime Rancher,"액션, 어드벤처 / 어드벤처, 인디 / 액션, 어드벤처, 인디, 시뮬레이션",沙雕之路,"액션, 어드벤처, 캐주얼, 인디, RPG",某一天，一个叫做丁德成的人看到邻居家晚饭吃凉拌海蜇，很馋，于是决定出门买海蜇。他与路上结识的同伴在沙雕大陆开始了一段充满想象的旅行，最终穿越多个次元，上演了一段波澜壮阔的买海蜇之旅。,,,
B0021,A13,Sid Meier's Civilization® V / Europa Universalis IV / Human Fall Flat,"전략 / 시뮬레이션, 전략 / 어드벤처, 캐주얼, 인디, 시뮬레이션",Old World 올드 월드,"RPG, 시뮬레이션, 전략","Old World는 새로운 역사 전략 게임으로, 몇 세대에 걸쳐 다른 왕들과 경쟁하면서 왕조를 이끌어야 합니다. 대규모 전쟁을 일으키고 궁중을 관리하며 왕조를 세워보거나, 제국의 몰락을 지켜봐야 하기도 합니다. 여러분은 어떤 유산을 남기겠습니까?",,,
B0022,A13,Sid Meier's Civilization® V / Europa Universalis IV / Human Fall Flat,"전략 / 시뮬레이션, 전략 / 어드벤처, 캐주얼, 인디, 시뮬레이션",Rising Front,"액션, 캐주얼, 시뮬레이션, 전략","A FPS WW1 & Revolutionary War battle simulator with a focus on Workshop Content, rag-doll physics, intelligent AI, massive battles, procedural AI cover system, real-time building system and FPS combat!",,,
B0023,A01,The Forest / 7 Days to Die / Sid Meier’s Civilization® VI,"액션, 어드벤처, 인디, 시뮬레이션 / 액션, 어드벤처, 인디, RPG, 시뮬레이션, 전략 / 전략",The Last Caretaker,"액션, 어드벤처, 인디, 시뮬레이션, 앞서 해보기","Explore a drowned Earth, restore lost systems, and raise the last human seeds in this first-person survival-crafting adventure. Build, scavenge, defend, and launch humanity back to the stars.",,,
B0024,A25,Project Zomboid / Don't Starve / The Forest,"인디, RPG, 시뮬레이션, 앞서 해보기 / 어드벤처, 인디, 시뮬레이션 / 액션, 어드벤처, 인디, 시뮬레이션",Crashlands,"액션, 어드벤처, 인디, RPG","Fight and tame alien beasts, craft resources into menacing weaponry, befriend the outlandish locals, and go toe-to-chin with a world-domineering maniac.",,,
B0025,A21,Hollow Knight / Dead Cells / Celeste,"액션, 어드벤처, 인디 / 액션, 어드벤처, 인디 / 액션, 어드벤처, 인디",Dust: An Elysian Tail,"액션, 어드벤처, 인디, RPG","Immerse yourself in a gorgeous hand-painted world on a search for your true identity. As the mysterious warrior, Dust, your action-packed journey will take you from peaceful glades to snowy mountaintops and beyond.",,,
B0026,A20,A Short Hike / ISLANDERS / Gorogoa,"어드벤처, 인디 / 캐주얼, 인디, 전략 / 어드벤처, 캐주얼, 인디",Human Resource Machine,"캐주얼, 인디, 시뮬레이션",조그만 사원들을 프로그래밍해서 퍼즐을 풀게 하세요. 쓸모 있는 직원이 되세요! 기계들이 당신의 직장을... 노리고 있으니까요. 이 게임은 월드 오브 구의 디자이너와 리틀 인페르노 팀이 협력하여 만들었습니다. 열일하세요! 관리 부서에서 지켜보고 있습니다.,,,
B0027,A06,Death's Door / Children of Morta / Roboquest / Spelunky 2 / Nuclear Throne / Streets of Rogue / Neon Abyss / Curse of the Dead Gods / Rogue Legacy 2 / Have a Nice Death,"액션, 어드벤처, 인디, RPG / 액션, 어드벤처, 인디, RPG / 액션, 인디 / 액션, 인디 / 액션, 인디, RPG / 액션, 어드벤처, 인디, RPG / 액션, 어드벤처, 인디, RPG / 액션, 어드벤처 / 액션, 어드벤처, 인디, RPG / 액션, 인디",Ravenswatch,"액션, 어드벤처",옛날이야기와 전설 속의 몰락한 영웅인 여러분은 세계를 타락시키려고 침범한 나이트매어와 맞서 중대한 전투를 치러야 합니다. Curse of the Dead Gods© 제작진이 선보이는 로그라이크 액션 게임을 1인 또는 온라인 협동 모드로 플레이하세요.,,,
B0028,A25,Project Zomboid / Don't Starve / The Forest,"인디, RPG, 시뮬레이션, 앞서 해보기 / 어드벤처, 인디, 시뮬레이션 / 액션, 어드벤처, 인디, 시뮬레이션",ARK: Survival Evolved,"액션, 어드벤처, 인디, 대규모 멀티플레이어, RPG","Stranded on the shores of a mysterious island, you must learn to survive. Use your cunning to kill or tame the primeval creatures roaming the land, and encounter other players to survive, dominate... and escape!",,,
B0029,A20,A Short Hike / ISLANDERS / Gorogoa,"어드벤처, 인디 / 캐주얼, 인디, 전략 / 어드벤처, 캐주얼, 인디",Void Stranger,"어드벤처, 인디",Place your faith and embrace the Void.,,,
B0030,A09,DARK SOULS™ III / Fallout 4 / The Forest,"액션 / RPG / 액션, 어드벤처, 인디, 시뮬레이션",FINAL FANTASY XV WINDOWS EDITION,RPG,최고의 품질과 함께 여정을 떠나세요. 풍부한 보너스 콘텐츠 제공 그리고 울트라 고해상도 그래픽 옵션과 HDR 10을 지원으로 그동안 한 번도 보지 못했던 아름답고 세심하게 제작된 FINAL FANTASY XV를 경험할 수 있습니다.,,,
B0031,A17,Counter-Strike 2 / PUBG: BATTLEGROUNDS / Stardew Valley,"액션, 무료 플레이 / 액션, 어드벤처, 대규모 멀티플레이어, 무료 플레이 / 인디, RPG, 시뮬레이션",세이큐 이야기,"어드벤처, RPG, 시뮬레이션","세이큐 섬을 배경으로 한 평화로운 농장 생활 시뮬레이션입니다. 농장을 가꾸고, 선조의 집을 복원하고, 마을 사람들과 진심 어린 유대감을 쌓으세요. 다양한 영혼 형태로 변신하며 계절의 흐름에 따라 잔잔하게 바뀌어 가는 세계를 탐험해 보세요.",,,
B0032,A13,Sid Meier's Civilization® V / Europa Universalis IV / Human Fall Flat,"전략 / 시뮬레이션, 전략 / 어드벤처, 캐주얼, 인디, 시뮬레이션",Astrobuilder,"시뮬레이션, 앞서 해보기","Navigate a living, AI-driven universe spanning 150+ planets and 600+ intelligent NPCs. Rise from a rookie trader to a galactic tycoon: manage storefronts, forge a Commerce Guild, and become the nexus between Factions, steering the fate of the Galaxy.",,,
B0033,A18,서브노티카 / The Long Dark / No Man's Sky,"어드벤처, 인디 / 어드벤처, 인디, 시뮬레이션, 전략 / 액션, 어드벤처",Stranded Deep,"어드벤처, 인디",Take the role of a plane crash survivor stranded somewhere in the Pacific Ocean. Come face to face with some of the most life threatening scenarios that will result in a different experience each time you play. Scavenge. Discover. Survive.,,,
