pair_key,프로필,좋아하는_게임,좋아하는_게임_장르,좋아하는_게임_설명,추천_게임,추천_게임_장르,추천_게임_설명,적합도,이유태그,메모
B0001,A28,Dordogne / A YEAR OF SPRINGS / Botany Manor,"어드벤처, 인디 / 캐주얼, 인디, 시뮬레이션 / 어드벤처","[Dordogne] 이 유년 시절의 여정에서 특별한 내러티브에 몰입하며 도르도뉴의 수천 가지 여름의 색을 탐험하고, 추억을 떠올리며 가족의 비밀을 밝히세요. ‖ [A YEAR OF SPRINGS] 세 명의 여성, 세 개의 이야기, 세 개의 봄. 세 명의 친구들이 사랑, 공감, 그리고 단지 함께하고 싶어하는 감정에 대한 방향을 찾아나가는 3 부작 비주얼 노벨 A YEAR OF SPRINGS 에서 하루, 에리카, 마나미의 이야기를 체험하세요. ‖ [Botany Manor] Welcome to Botany Manor, a stately home in 19th century England. You play as inhabitant Arabella Greene, a retired botanist. Explore your house and gardens, filled with research, t",Call of the Sea,"어드벤처, 캐주얼, 인디",푸르른 낙원 같은 섬을 배경으로 펼쳐지는 어드벤처 퍼즐 게임에서 수수께끼의 질병에 시달리며 사라진 남편을 찾는 여성 노라를 따라가세요. 수수께끼와 사랑이 뒤섞인 감동적인 이야기 속에서 아름다운 배경에 흠뻑 빠져들어 금지된 비밀을 파헤쳐 보세요.,,,
B0002,A26,RimWorld / Oxygen Not Included / Unpacking 언패킹,"인디, 시뮬레이션, 전략 / 인디, 시뮬레이션 / 캐주얼, 인디, 시뮬레이션","[RimWorld] 지능형 AI 이야기꾼이 주도하는 공상과학 정착지 시뮬레이터입니다. 심리, 생태, 총격전과 근접전, 날씨, 기후, 외교, 사람 사이의 관계, 예술, 의학, 무역, 그 외 많은 것들을 시뮬레이션하여 이야기를 생성합니다. ‖ [Oxygen Not Included] Oxygen Not Included는 우주 콜로니 시뮬레이션 게임입니다. 외계의 우주 암석 깊은 곳에서 근면한 일꾼들은 생존하고 나아가 번영하기 위해 과학을 마스터하고, 낯선 새로운 생명체에 맞서며, 경이로운 우주 테크놀로지를 활용해야 합니다. ‖ [Unpacking 언패킹] Unpacking은 상자에서 짐을 꺼내 새집에 맞게 배치하는 친숙한 체험에 대한 명상적 퍼즐 게임입니다. 게임의 일부인 블록 맞추기 게임과 집 꾸미기를 하는 동안, 푸는 짐에 닮긴 삶의 실마리를 찾아가며 만족할 만한 생활 공간을 만들어 보세요.",Interstellar Transport Company,시뮬레이션,"Build a galactic transportation empire and supply humanity with everything it needs to colonize the stars. In this sci-fi logistics simulator, grow your company from a local transport agency into an interstellar logistics behemoth! Singleplayer, vs AI, and online multiplayer.",,,
B0003,A04,Hollow Knight / Dead Cells / Celeste,"액션, 어드벤처, 인디 / 액션, 어드벤처, 인디 / 액션, 어드벤처, 인디","[Hollow Knight] 할로우 나이트에서 자신만의 길을 구축하세요! 크게 파괴된 곤충과 영웅의 왕국을 통한 서사 액션 어드벤처입니다. 손으로 그린 클래식 2D 스타일로 구불구불한 동굴을 탐험하고 오염된 생물과 싸우고 이상한 곤충들과 친구가 되어 보세요. ‖ [Dead Cells] 데드 셀(Dead Cells)는 메트로배니아에서 영감을 받은 로그라이트 액션 플랫포머 게임입니다. 2D 소울 라이트 전투에서 성을 지키는 수호자들을 물리치고 끊임없이 변화하는 거대한 성을 탐험하게 됩니다. 세이브 포인트는 없습니다. 죽이고, 죽고, 배우고, 반복하세요. ‖ [Celeste] 타워폴(TowerFall) 시리즈의 개발자들이 만든 이 초밀착형 플랫폼 게임을 플레이하고, 매들린이 셀레스트 산 정상으로 향하는 여정에서 내면의 악마에게서 살아남을 수 있게 도와주세요. 한땀 한땀 손수 제작한 수백 가지의 도전 과제에 맞서고, 사악한 비밀을 밝혀내고, 산에 숨겨진 수수께끼를 풀어보세요.",Shadow of the Depth,"액션, 어드벤처, 인디",탑다운 뷰 스타일의 로그라이트(Roguelite) 게임 《쉐도우 오브 뎁스》. 워리어/어쌔신/메이지 등 다양한 캐릭터가 되어 빛과 어둠이 교차하는 언더월드에서 평화를 무너뜨린 몬스터를 해치워야 합니다. 어둠 속으로 당신을 초대합니다!,,,
B0004,A10,A Short Hike / ISLANDERS / Gorogoa,"어드벤처, 인디 / 캐주얼, 인디, 전략 / 어드벤처, 캐주얼, 인디","[A Short Hike] Hike, climb, and soar through the peaceful mountainside landscapes of Hawk Peak Provincial Park as you make your way to the summit. ‖ [ISLANDERS] ISLANDERS is a minimalist strategy game about building cities on colorful islands. ‖ [Gorogoa] Gorogoa(고로고아)는 Jason Roberts가 디자인하고 일러스트레이션을 손으로 그린 아름다운 차세대 퍼즐 게임입니다.",Lil Gator Game,"액션, 어드벤처, 캐주얼, 인디","Embark on an adorable adventure, discover new friends and uncover everything the island has to offer. Climb, Swim, Glide and slide your way into the hearts of the many different characters you meet on your travels!",,,
B0005,A27,The Raven Remastered / The Frostrune / Mad Experiments: Escape Room,"어드벤처 / 어드벤처 / 어드벤처, 캐주얼, 인디, 시뮬레이션, 전략","[The Raven Remastered] London, 1964. An ancient ruby is stolen from the British Museum. At the crime scene: a raven feather. Is somebody trying to follow in the footsteps of The Raven, the legendary mast ‖ [The Frostrune] Unravel a mystery inspired by Viking myth and legend in The Frostrune, a classic point-and-click adventure based on historically accurate Norse culture and environments. ‖ [Mad Experiments: Escape Room] 수상 후보에 오른 이스케이프 게임 1인 또는 최대 5인까지 플레이하며 3개의 독특한 방을 탐험하고, 두뇌를 자극하는 퍼즐을 풀며 체셔 교수와 그의 실험에 얽힌 어두운 비밀을 밝혀보세요.",Adventures of Bertram Fiddle 1: A Dreadly Business,"어드벤처, 캐주얼, 인디","A classic point and click adventure game, featuring weird and wonderful characters, beautiful animation and a fantastic soundtrack. ""It is quite possibly one of the finest point-and-click comedy murder mystery adventure games set in Victorian London you will play today"" - Bertram Fiddle",,,
B0006,A34,Pid / ChromaGun / Deer & Boy,"어드벤처, 인디 / 액션, 어드벤처, 인디 / 액션, 어드벤처, 인디","[Pid] You are stranded on a strange and peculiar planet. It’s time to embark on your journey and find your way home! Explore a gravity defying and challenging platformer with striking vi ‖ [ChromaGun] Welcome to ChromaTec’s test lab! You’re here to test our state-of-the-art military-grade color-technology: The ChromaGun (patent pending)! Use it to solve our meticulously designed ‖ [Deer & Boy] 도망친 소년은 길 잃은 어린 사슴을 만나 고요하면서도 위태로운 세상을 함께 헤쳐 나갑니다. 퍼즐을 풀고, 높은 곳에 오르고, 위협을 피해 나아가며 당신의 동료는 연약한 아기 사슴에서 어엿한 사슴으로 성장하죠. 혼자서는 할 수 없었던 일을 함께 해내는 법을 배우게 됩니다.",Kotenok,"어드벤처, 캐주얼, 인디, 시뮬레이션, 전략","위험한 숲에서 길을 잃은 아기 고양이가 되어 모험을 떠나세요! 달리고, 점프하고, 물건을 옮기며 가시와 적, 퍼즐로 가득한 50개의 기발한 레벨을 돌파하세요.",,,
B0007,A34,Pid / ChromaGun / Deer & Boy,"어드벤처, 인디 / 액션, 어드벤처, 인디 / 액션, 어드벤처, 인디","[Pid] You are stranded on a strange and peculiar planet. It’s time to embark on your journey and find your way home! Explore a gravity defying and challenging platformer with striking vi ‖ [ChromaGun] Welcome to ChromaTec’s test lab! You’re here to test our state-of-the-art military-grade color-technology: The ChromaGun (patent pending)! Use it to solve our meticulously designed ‖ [Deer & Boy] 도망친 소년은 길 잃은 어린 사슴을 만나 고요하면서도 위태로운 세상을 함께 헤쳐 나갑니다. 퍼즐을 풀고, 높은 곳에 오르고, 위협을 피해 나아가며 당신의 동료는 연약한 아기 사슴에서 어엿한 사슴으로 성장하죠. 혼자서는 할 수 없었던 일을 함께 해내는 법을 배우게 됩니다.",Shenmue III,"액션, 어드벤처","아버지를 죽인 원수를 애타게 찾고 있는 10대 일본인 소년 '료 하즈키'가 되어 중국의 시골을 여행하세요. 모험, 미스터리, 우정, 무술, 그리고 최종적으로, 복수를 다루는 이야기가 펼쳐집니다!",,,
B0008,A11,Forza Horizon 5 / Hi-Fi RUSH / Street Fighter 6,"액션, 어드벤처, 레이싱, 시뮬레이션, 스포츠 / 액션 / 액션, 어드벤처","[Forza Horizon 5] 세계 최고의 자동차를 타고 생동감 넘치는 멕시코의 대자연을 탐험하며 재미있는 드라이빙 액션을 마음껏 즐겨보세요. ‖ [Hi-Fi RUSH] 아케이드 챌린지! 업데이트!로 추가되는 두 개의 신규 게임 모드에서 여러분의 능력을 시험하고, 새로운 보상을 획득해 보세요. 몇 가지 비밀도 숨어 있답니다! 락 스타 지망생 차이가 되어 비트를 타고, 세상 모든 게 음악에 싱크되는 세계에서 오합지졸 팀과 함께 사악한 거대 기업에 맞서 싸우세요. ‖ [Street Fighter 6] 시리즈 최신작 『Street Fighter 6』, 2023년 6월 2일 발매 결정! RE ENGINE으로 개발된 본 작품은 대형 모드 「World Tour」, 「Fighting Ground」, 「Battle Hub」로 구성되어 있다. 새로운 「스트리트 파이터」에는 지금까지의 시리즈에는 없었던 새로운 체험이 기다리고 있다.",HYPERBEAT,"액션, 인디","Embark as a knight alone or with friends in an order chasing their potential. Experience a rhythm game with an original soundtrack, in-depth character customization, and a story following an ensemble cast in a tranquil hub world. What will you find at the peak of what you're chasing?",,,
B0009,A28,Dordogne / A YEAR OF SPRINGS / Botany Manor,"어드벤처, 인디 / 캐주얼, 인디, 시뮬레이션 / 어드벤처","[Dordogne] 이 유년 시절의 여정에서 특별한 내러티브에 몰입하며 도르도뉴의 수천 가지 여름의 색을 탐험하고, 추억을 떠올리며 가족의 비밀을 밝히세요. ‖ [A YEAR OF SPRINGS] 세 명의 여성, 세 개의 이야기, 세 개의 봄. 세 명의 친구들이 사랑, 공감, 그리고 단지 함께하고 싶어하는 감정에 대한 방향을 찾아나가는 3 부작 비주얼 노벨 A YEAR OF SPRINGS 에서 하루, 에리카, 마나미의 이야기를 체험하세요. ‖ [Botany Manor] Welcome to Botany Manor, a stately home in 19th century England. You play as inhabitant Arabella Greene, a retired botanist. Explore your house and gardens, filled with research, t",Quern - Undying Thoughts,어드벤처,"Discover the truth about Quern’s past, unfold the mysteries of its present, and be the explorer who shapes its future. Quern introduces reusable puzzle mechanics to the classic genre, making the player think about the game as a whole, and not just as a series of individual challenges.",,,
B0010,A01,It Takes Two / Overcooked! 2 / What Remains of Edith Finch,"액션, 어드벤처 / 액션, 캐주얼, 인디 / 어드벤처, 인디","[It Takes Two] It Takes Two에서 생애 가장 정신없는 여정을 시작하세요. 친구가 무료로 참가할 수 있게 친구 패스*로 초대하고, 함께 힘을 합쳐서 수많은 유쾌하고 획기적인 게임 플레이 챌린지를 헤쳐나가세요. ‖ [Overcooked! 2] 혼란스러운 요리 액션으로 가득한 Overcooked가 돌아왔습니다! 양파 왕국으로 돌아가는 여행을 떠나세요. 클래식 협동 또는 온라인 플레이에서 셰프 팀을 만들어서 최대 4명까지 플레이하세요. 앞치마를 준비하세요... 다시 세상을 구할 때가 되었습니다! ‖ [What Remains of Edith Finch] What Remains of Edith Finch(워트 리메인스 오브 에디스 핀치)는 워싱턴 주에 있는 어느 가족에 대한 이상한 이야기의 모음입니다. 플레이어는 에디스가 되어 거대한 핀치 가택을 탐사하고, 가족사를 연구하며 이야기를 찾고, 왜 가족 중에서 그녀만 살아남았는지 알아내야 합니다. 각 이야기는 새로운 가족 구성",Gone In November,"어드벤처, 인디","Coming home after visiting your doctor for the last time, you are told that you only have three more days to live. A sequence of short memory fragments flashing through as you try to run away from what you have done.",,,
