pair_key,프로필,좋아하는_게임,좋아하는_게임_장르,추천_게임,추천_게임_장르,추천_게임_설명,적합도,이유태그,메모
B0001,A17,Into the Breach / Monster Train / Mini Metro,"인디, RPG, 시뮬레이션, 전략 / 전략 / 인디, 시뮬레이션, 전략",Void War,"어드벤처, 인디, RPG, 시뮬레이션, 전략","Command an ancient starship and fight your way to the heart of a dying Empire. Fend off attacks from demented cultists, craven space pirates, and xenophobic Imperial soldiers. Discover powerful artifacts and use them to build your ship into a fearsome war engine.",,,
B0002,A03,Death's Door / Children of Morta / Roboquest / Spelunky 2 / Nuclear Throne / Streets of Rogue / Neon Abyss / Curse of the Dead Gods / Rogue Legacy 2 / Have a Nice Death,"액션, 어드벤처, 인디, RPG / 액션, 어드벤처, 인디, RPG / 액션, 인디 / 액션, 인디 / 액션, 인디, RPG / 액션, 어드벤처, 인디, RPG / 액션, 어드벤처, 인디, RPG / 액션, 어드벤처 / 액션, 어드벤처, 인디, RPG / 액션, 인디",GODBREAKERS,"액션, 인디","빠르고, 유려하고, 광적인 액션! 광란의 전투 루프 속에서 신을 무찌르고, 힘을 빼앗고, 능력을 연계하세요. 이 1-4인 플레이어 협동 액션 로그라이트는 간편하고 빠른 세션과 끝없이 재도전할 수 있는 혼돈을 선사하는 게임입니다. 치열한 전투를 즐기고 도전할 때마다 최고의 쾌감을 경험하세요!",,,
B0003,A01,Sid Meier's Civilization® V / Europa Universalis IV / Human Fall Flat,"전략 / 시뮬레이션, 전략 / 어드벤처, 캐주얼, 인디, 시뮬레이션",Sand:box,"캐주얼, 인디, 시뮬레이션, 무료 플레이","""Falling sand"" style particle sandbox, now with circuits and stickmen!",,,
B0004,A22,Opus Magnum,"인디, 시뮬레이션",Mind Over Magnet,"어드벤처, 인디",An attractive puzzle platformer where you use magnetism to escape a factory. Meet a cast of magnet characters and work together to solve logical conundrums.,,,
B0005,A08,A Short Hike / ISLANDERS / Gorogoa,"어드벤처, 인디 / 캐주얼, 인디, 전략 / 어드벤처, 캐주얼, 인디",Thronefall,"액션, 인디, 전략",작은 왕국을 건설하고 방어하는 미니멀리스트 게임입니다.,,,
B0006,A22,Opus Magnum,"인디, 시뮬레이션",Altered,"인디, 전략","Solve difficult puzzles in a soothing atmosphere by altering your characters in multiple ways, forcing you to think outside the box.",,,
B0007,A07,Sid Meier’s Civilization® VI / XCOM® 2 / Stellaris,"전략 / 전략 / 시뮬레이션, 전략",Idle Civilization,"인디, RPG, 시뮬레이션, 전략, 앞서 해보기","Take command of a pair of villagers and help them build a mighty civilization that will spread across the world and conquer it. Idle Civilization is a civilization builder management game where you will oversee the growth of your people into a mighty kingdom through building, research, warfare, reli",,,
B0008,A23,Euro Truck Simulator 2 / BeamNG.drive / 아세토 코르사 Assetto Corsa,"인디, 시뮬레이션 / 레이싱, 시뮬레이션, 앞서 해보기 / 인디, 레이싱, 시뮬레이션, 스포츠",RaceLeague,"액션, 캐주얼, 인디, 레이싱, 시뮬레이션, 스포츠, 앞서 해보기","Car racing game with soft-body damage, race track builder, track database and multiplayer",,,
B0009,A01,Sid Meier's Civilization® V / Europa Universalis IV / Human Fall Flat,"전략 / 시뮬레이션, 전략 / 어드벤처, 캐주얼, 인디, 시뮬레이션",For The Glory: A Europa Universalis Game,"시뮬레이션, 전략","Take up the reins of your country, guide domestic and foreign policy, navigate thousands of historical figures and events, engage in various struggles and lead your country to prosperity – all in the name of glory!",,,
B0010,A11,서브노티카 / The Long Dark / No Man's Sky,"어드벤처, 인디 / 어드벤처, 인디, 시뮬레이션, 전략 / 액션, 어드벤처",Chained Together,"어드벤처, 캐주얼, 인디, 시뮬레이션","지옥의 깊은 곳에서 시작하여, 사슬로 묶인 채 친구들과 함께 다양한 세계들을 넘어 올라가세요. 혼자서 또는 협동으로, 정상에 도달해보고 거기에서 여러분을 기다리고 있는 것을 발견하세요...",,,
