[movie] 목록 50,439 · 완료 34 · 남음 50,405 · 워커 16
[movie] 1,000/50,405  13.8건/s  남은 시간 60분
[movie] 2,000/50,405  14.1건/s  남은 시간 57분
[movie] 3,000/50,405  14.3건/s  남은 시간 55분
[movie] 4,000/50,405  14.5건/s  남은 시간 53분
[movie] 5,000/50,405  14.7건/s  남은 시간 52분
[movie] 6,000/50,405  14.8건/s  남은 시간 50분
[movie] 7,000/50,405  14.8건/s  남은 시간 49분
[movie] 8,000/50,405  14.9건/s  남은 시간 47분
[movie] 9,000/50,405  14.9건/s  남은 시간 46분
[movie] 10,000/50,405  15.0건/s  남은 시간 45분
[movie] 11,000/50,405  15.1건/s  남은 시간 44분
[movie] 12,000/50,405  15.2건/s  남은 시간 42분
[movie] 13,000/50,405  15.4건/s  남은 시간 41분
[movie] 14,000/50,405  15.5건/s  남은 시간 39분
[movie] 15,000/50,405  15.6건/s  남은 시간 38분
[movie] 16,000/50,405  15.7건/s  남은 시간 37분
[movie] 17,000/50,405  15.8건/s  남은 시간 35분
[movie] 18,000/50,405  15.8건/s  남은 시간 34분
[movie] 19,000/50,405  15.9건/s  남은 시간 33분
[movie] 20,000/50,405  15.9건/s  남은 시간 32분
[movie] 21,000/50,405  15.9건/s  남은 시간 31분
[movie] 22,000/50,405  15.9건/s  남은 시간 30분
[movie] 23,000/50,405  16.0건/s  남은 시간 29분
[movie] 24,000/50,405  16.0건/s  남은 시간 27분
[movie] 25,000/50,405  16.1건/s  남은 시간 26분
[movie] 26,000/50,405  16.1건/s  남은 시간 25분
[movie] 27,000/50,405  16.1건/s  남은 시간 24분
[movie] 28,000/50,405  16.1건/s  남은 시간 23분
[movie] 29,000/50,405  16.1건/s  남은 시간 22분
[movie] 30,000/50,405  16.2건/s  남은 시간 21분
[movie] 31,000/50,405  16.2건/s  남은 시간 20분
[movie] 32,000/50,405  16.2건/s  남은 시간 19분
[movie] 33,000/50,405  16.2건/s  남은 시간 18분
[movie] 34,000/50,405  16.2건/s  남은 시간 17분
[movie] 35,000/50,405  16.2건/s  남은 시간 16분
[movie] 36,000/50,405  16.2건/s  남은 시간 15분
[movie] 37,000/50,405  16.3건/s  남은 시간 14분
[movie] 38,000/50,405  16.2건/s  남은 시간 13분
[movie] 39,000/50,405  16.3건/s  남은 시간 12분
[movie] 40,000/50,405  16.3건/s  남은 시간 11분
[movie] 41,000/50,405  16.3건/s  남은 시간 10분
[movie] 42,000/50,405  16.3건/s  남은 시간 9분
[movie] 43,000/50,405  16.4건/s  남은 시간 8분
[movie] 44,000/50,405  16.4건/s  남은 시간 7분
[movie] 45,000/50,405  16.4건/s  남은 시간 5분
[movie] 46,000/50,405  16.5건/s  남은 시간 4분
[movie] 47,000/50,405  16.5건/s  남은 시간 3분
[movie] 48,000/50,405  16.5건/s  남은 시간 2분
[movie] 49,000/50,405  16.5건/s  남은 시간 1분
[movie] 50,000/50,405  16.5건/s  남은 시간 0분
[movie] 완료 → /home/ubuntu/-AOD-All-of-Dopamine-AI/recommendation/tmdb/data/movie_enriched.jsonl
[tv] 목록 9,589 · 완료 0 · 남음 9,589 · 워커 16
[tv] 1,000/9,589  13.2건/s  남은 시간 11분
[tv] 2,000/9,589  14.0건/s  남은 시간 9분
[tv] 3,000/9,589  14.5건/s  남은 시간 8분
[tv] 4,000/9,589  15.1건/s  남은 시간 6분
[tv] 5,000/9,589  15.5건/s  남은 시간 5분
[tv] 6,000/9,589  16.0건/s  남은 시간 4분
[tv] 7,000/9,589  16.5건/s  남은 시간 3분
[tv] 8,000/9,589  16.8건/s  남은 시간 2분
[tv] 9,000/9,589  17.1건/s  남은 시간 1분
[tv] 완료 → /home/ubuntu/-AOD-All-of-Dopamine-AI/recommendation/tmdb/data/tv_enriched.jsonl
