pair_key,프로필,좋아하는_게임,좋아하는_게임_장르,추천_게임,추천_게임_장르,추천_게임_설명,적합도,이유태그,메모
B0001,A08,Hearts of Iron IV / Europa Universalis IV / Sid Meier's Civilization® V,"시뮬레이션, 전략 / 시뮬레이션, 전략 / 전략",Cortex Command,"액션, 인디, 전략","Choose between different factions, with their own set of expendable soldiers, mechas, and weapons. Protect your brain, mine gold, and destroy the enemy cortex in his bunker complex!",1,GENRE_ONLY,
B0002,A04,Salt and Sanctuary,"액션, 인디, RPG",Watcher Chronicles,"액션, 인디, RPG",소울라이크 2D 액션 RPG 게임을 통해 해골 악몽과 무자비한 보스로 가득하고 각기 서로 연결된 연옥의 세계를 통과하며 전투를 벌이세요.,3,,
B0003,A04,Salt and Sanctuary,"액션, 인디, RPG",Valdis Story: Abyssal City,"액션, 인디, RPG","Assume the role of Wyatt in this Action/Exploration Platformer as you explore the ruins of a holy city that was lost many years ago. Battle various types of demons, angels, and a new threat known only as the “Ferals”, using swordsmanship, martial arts, and sorcery.",3,,
B0004,A05,서브노티카 / The Long Dark / No Man's Sky,"어드벤처, 인디 / 어드벤처, 인디, 시뮬레이션, 전략 / 액션, 어드벤처",StarMade,"액션, 어드벤처, 인디, RPG, 시뮬레이션, 전략, 앞서 해보기","The ultimate space sandbox. Participate in epic fleet battles, form alliances, strive to dominate entire galaxies and harness the universe’s resources for your industrious empire or the destruction of others. Customise your experience, the universe is yours!",2,,
B0005,A01,Stardew Valley / Slime Rancher / Raft,"인디, RPG, 시뮬레이션 / 액션, 어드벤처, 인디, 시뮬레이션 / 어드벤처, 인디, 시뮬레이션",Bugsnax,"액션, 어드벤처, 캐주얼, 인디",독특한 이 섬에서 모험을 떠나 살아있는 신비한 버그스낵스를 잡아서 친구들에게 먹여주세요!,3,,
B0006,A14,Euro Truck Simulator 2 / BeamNG.drive / 아세토 코르사 Assetto Corsa,"인디, 시뮬레이션 / 레이싱, 시뮬레이션, 앞서 해보기 / 인디, 레이싱, 시뮬레이션, 스포츠",CarX Street,"대규모 멀티플레이어, 레이싱, 시뮬레이션, 스포츠","Conquer mountain roads, highways, and city streets. Build your dream car with detailed tuning that unleashes the potential of “CarX Technology”© physics. Take part in thrilling races, enjoying realistic gameplay and dynamic driving.",3,,
B0007,A02,No Man's Sky / 서브노티카 / Slime Rancher,"액션, 어드벤처 / 어드벤처, 인디 / 액션, 어드벤처, 인디, 시뮬레이션",Silence,"어드벤처, 인디",삶과 죽음의 경계선에 놓인 불길하고도 고요한 세상 사일런스는 구원받을 수 있을까요? 노아와 여동생 리니는 고통으로 점철된 이 세상을 벗어나 원래 세상으로 돌아갈 수 있을까요? 사일런스를 탐험하며 노아와 리니 남매의 모험 속으로 뛰어들어 보세요.,0,IRRELEVANT,
B0008,A06,The Witcher 3: Wild Hunt / The Elder Scrolls V: Skyrim Special Edition / BeamNG.drive,"RPG / RPG / 레이싱, 시뮬레이션, 앞서 해보기",Icewind Dale: Enhanced Edition,"어드벤처, RPG",얼어붙은 북부를 경험할 수 있는 클래식이 돌아왔습니다. 아이스윈드 데일: 강화판은 오리지널 어드벤처의 정신을 보존하면서 현대의 플레이어들을 위해 정교하게 다듬어졌습니다. Dungeons & Dragons 영웅들로 파티를 구성하여 세계의 척추 산맥의 가혹하지만 잊을 수 없는 아름다움을 마주하세요.,2,,
B0009,A05,서브노티카 / The Long Dark / No Man's Sky,"어드벤처, 인디 / 어드벤처, 인디, 시뮬레이션, 전략 / 액션, 어드벤처",Andarilho,"액션, 어드벤처, 캐주얼, 인디, 시뮬레이션","You are a guy with a backpack, just try to stay alive!",1,TOO_NICHE,
B0010,A10,Sid Meier's Civilization® V / Europa Universalis IV / Human Fall Flat,"전략 / 시뮬레이션, 전략 / 어드벤처, 캐주얼, 인디, 시뮬레이션",Warbox Sandbox,"액션, 인디, 시뮬레이션, 전략","Create intense battles across time periods, join the battle, rewrite history, and become a legend.",1,GENRE_ONLY,
B0011,A13,Sid Meier’s Civilization® VI / XCOM® 2 / Stellaris,"전략 / 전략 / 시뮬레이션, 전략",Ara History Untold: Anniversary Edition,전략,"인류 역사상의 어느 시대에든 국가를 건설하고 이 서사적인 턴제 전략 게임에서 패권을 놓고 겨뤄봐. 외교를 펼치고, 전쟁을 일으키며, 다른 역사적 지도자들과 일대일 대결을 벌여라. arahistoryuntold.com에서 인사이더 프로그램에 참여하세요!",3,,
B0012,A08,Hearts of Iron IV / Europa Universalis IV / Sid Meier's Civilization® V,"시뮬레이션, 전략 / 시뮬레이션, 전략 / 전략",Warbox Sandbox,"액션, 인디, 시뮬레이션, 전략","Create intense battles across time periods, join the battle, rewrite history, and become a legend.",1,GENRE_ONLY,
B0013,A03,Hollow Knight / Dead Cells / Celeste,"액션, 어드벤처, 인디 / 액션, 어드벤처, 인디 / 액션, 어드벤처, 인디",TetherGeist,"액션, 어드벤처, 인디",도전적이면서도 감성적이고 정밀한 플랫포머 게임을 만나보세요. 유체이탈 능력을 활용해 위험천만한 성년의 순례를 완수하세요. 정교한 조작을 익히고 도전을 극복하며 영혼의 인도를 따라 여정을 끝마치세요.,3,,
B0014,A14,Euro Truck Simulator 2 / BeamNG.drive / 아세토 코르사 Assetto Corsa,"인디, 시뮬레이션 / 레이싱, 시뮬레이션, 앞서 해보기 / 인디, 레이싱, 시뮬레이션, 스포츠",First Racer,"액션, 캐주얼, 인디, 레이싱, 스포츠","First Racer - 아케이드 레이싱. 경쟁하고, 추월하고, 승리하세요. 자동차를 업그레이드하고 맞춤화하세요. 도시 자동차에서 고속 슈퍼카로의 여정을 떠나세요. 혼자 또는 친구들과 함께 레이스에 참여하고 놀라운 속도의 세계로 몰입하세요.",1,GENRE_ONLY,
