pair_key,프로필,좋아하는_게임,좋아하는_게임_장르,추천_게임,추천_게임_장르,추천_게임_설명,적합도,이유태그,메모
B0001,A11,Hollow Knight / Dead Cells / Garry's Mod,"액션, 어드벤처, 인디 / 액션, 어드벤처, 인디 / 캐주얼, 인디, 시뮬레이션",가이더스 제로,"액션, 어드벤처, 인디, 전략",가이더스 제로는 실시간 그리드 액션 로그라이크 게임입니다. 대륙에 생겨난 미지의 싱크홀 '상처'를 탐험하며 신비로운 정령들과 보물상자를 찾아보세요. 그리고 어둠에 침식된 적들과 강력한 보스를 물리치고 상처의 최하층에 도달해보세요. 재앙의 원인이 기다리고 있습니다.,,,
B0002,A04,Counter-Strike 2 / PUBG: BATTLEGROUNDS / Stardew Valley,"액션, 무료 플레이 / 액션, 어드벤처, 대규모 멀티플레이어, 무료 플레이 / 인디, RPG, 시뮬레이션",Totally Accurate Battlegrounds,"액션, 인디, 무료 플레이","Grab your balloon crossbow and trusty inflatable hammer, because things are about to get wobbly! Be the last weirdo standing in the world-leading physics-based Battle Royale game.",,,
B0003,A14,The Forest / 7 Days to Die / Sid Meier’s Civilization® VI,"액션, 어드벤처, 인디, 시뮬레이션 / 액션, 어드벤처, 인디, RPG, 시뮬레이션, 전략 / 전략",Andarilho,"액션, 어드벤처, 캐주얼, 인디, 시뮬레이션","You are a guy with a backpack, just try to stay alive!",,,
B0004,A19,Garry's Mod / Team Fortress 2 / Left 4 Dead 2,"캐주얼, 인디, 시뮬레이션 / 액션, 무료 플레이 / 액션",Garbanzo Quest,"액션, 어드벤처, 인디","GARBANZO QUEST! The crazy bullet-heck platformer where your main weapon is your own spit! Bring a friend! Hand-crafted challenges, secrets, and branching paths galore!",,,
B0005,A07,Hardspace: Shipbreaker / Hacknet / The Case of the Golden Idol / 방 탈출 시뮬레이터 / shapez 2 - Factory,"시뮬레이션 / 인디, 시뮬레이션 / 어드벤처, 인디 / 어드벤처, 캐주얼, 인디, 시뮬레이션 / 캐주얼, 인디, 시뮬레이션, 전략",hack_me 2,"인디, 시뮬레이션","hack_me 2 is a story about hacker-beginner, who is going to confront to new World Order, where is no place for personal secrets.",,,
B0006,A19,Garry's Mod / Team Fortress 2 / Left 4 Dead 2,"캐주얼, 인디, 시뮬레이션 / 액션, 무료 플레이 / 액션",Fantasy Strike,"액션, 캐주얼, 인디, 무료 플레이","A fighting game designed from the ground up to be so easy to control that even non-fighting game players can play it, yet deep enough to play in tournaments. Vibrant graphics and excellent online play.",,,
B0007,A09,Hearts of Iron IV / Europa Universalis IV / Sid Meier's Civilization® V,"시뮬레이션, 전략 / 시뮬레이션, 전략 / 전략",Easy Red 2,"액션, 인디, 시뮬레이션, 전략","Experience massive battles with infantry, tanks, artillery, and aircraft on large destructible open-world maps. Equip yourself, coordinate with your squad, and fight through World War II in singleplayer, co-op, or multiplayer!",,,
B0008,A04,Counter-Strike 2 / PUBG: BATTLEGROUNDS / Stardew Valley,"액션, 무료 플레이 / 액션, 어드벤처, 대규모 멀티플레이어, 무료 플레이 / 인디, RPG, 시뮬레이션",Research Story,"캐주얼, 인디, RPG, 시뮬레이션","Set out to discover and record plants and creatures for the Violet Archive. Grow crops, tame animals, and build the perfect farm! Forge friendships along the way as you begin your life as a researcher!",,,
B0009,A17,Hollow Knight / Dead Cells / Celeste,"액션, 어드벤처, 인디 / 액션, 어드벤처, 인디 / 액션, 어드벤처, 인디",Narita Boy,"어드벤처, 인디",Narita Boy의 세계를 여러분이 직접 가꿔보세요! Digital Kingdom 안에 소리 없이 갇혀 있는 전설적인 픽셀 영웅이 되어 역동적인 액션 어드벤처를 경험해보세요. Techno-sword의 숨겨진 비밀을 파헤쳐서 타락한 Stallions를 봉인하고 세상을 구하세요!,,,
B0010,A18,Project Zomboid / Don't Starve / The Forest,"인디, RPG, 시뮬레이션, 앞서 해보기 / 어드벤처, 인디, 시뮬레이션 / 액션, 어드벤처, 인디, 시뮬레이션",Dead Horde,"액션, 인디","As a survivor of the mutant virus, make your way through the city and wipe out the hordes of flesh eating mutants. Teamwork is the key to survive the DEAD HORDE...",,,
B0011,A10,Death's Door / Children of Morta / Roboquest / Spelunky 2 / Nuclear Throne / Streets of Rogue / Neon Abyss / Curse of the Dead Gods / Rogue Legacy 2 / Have a Nice Death,"액션, 어드벤처, 인디, RPG / 액션, 어드벤처, 인디, RPG / 액션, 인디 / 액션, 인디 / 액션, 인디, RPG / 액션, 어드벤처, 인디, RPG / 액션, 어드벤처, 인디, RPG / 액션, 어드벤처 / 액션, 어드벤처, 인디, RPG / 액션, 인디",Dungeon Souls,"액션, 어드벤처, 인디, RPG","Dungeon Souls is an action-adventure roguelike dungeon crawler which draws heavy inspiration from Nuclear Throne, Risk of Rain, and Overture. Explore vast procedurally generated dungeons, collect loot, and slay hordes of challenging enemies!",,,
B0012,A14,The Forest / 7 Days to Die / Sid Meier’s Civilization® VI,"액션, 어드벤처, 인디, 시뮬레이션 / 액션, 어드벤처, 인디, RPG, 시뮬레이션, 전략 / 전략",Under A New Sun,"어드벤처, 인디, 시뮬레이션, 앞서 해보기","While searching for a new home, an unexpected failure in your ship has left you stranded on a planet surprisingly similar to Earth. Discover a vast open world, hunt for food, develop technologies, and build yourself a new home to survive!",,,
B0013,A01,DARK SOULS™ III / Fallout 4 / The Forest,"액션 / RPG / 액션, 어드벤처, 인디, 시뮬레이션",블레이드 오브 파이어 Blades of Fire,"액션, 어드벤처","강철을 단조하여 전투와 진행 상황, 운명을 모두 바꿀 수 있는 다크 판타지 어드벤처입니다.",,,
B0014,A02,Sid Meier’s Civilization® VI / XCOM® 2 / Stellaris,"전략 / 전략 / 시뮬레이션, 전략",XCOM: Enemy Unknown,전략,The XCOM: Enemy Unknown - Slingshot Pack is Now Available!,,,
B0015,A05,A Short Hike / ISLANDERS / Gorogoa,"어드벤처, 인디 / 캐주얼, 인디, 전략 / 어드벤처, 캐주얼, 인디",Castaway Paradise - live among the animals,"어드벤처, 캐주얼, 인디, RPG, 시뮬레이션","It's the ultimate Sandbox sim! Farm, catch bugs, talk to villagers, build your own tropical dream island! If you like Animal Crossing, Among Us, or Harvest Moon, you will love this game!",,,
B0016,A16,DARK SOULS™ III / The Witcher 3: Wild Hunt / The Elder Scrolls V: Skyrim Special Edition,액션 / RPG / RPG,Our world has not decayed,"어드벤처, 캐주얼, 인디, RPG","Although it is already the end of the world, we still stay together. all characters are over the age of 18.",,,
B0017,A05,A Short Hike / ISLANDERS / Gorogoa,"어드벤처, 인디 / 캐주얼, 인디, 전략 / 어드벤처, 캐주얼, 인디",星际工业国,"캐주얼, 인디, 전략","This is a idle game modeled on industrial building gameplay. It will be three-dimensional, complex industrial assembly line, easy, simple plane conveyor belt. At the same time to join the battleship assembly, space campaign, character development, giant construction, trade orders and other gameplay!",,,
B0018,A05,A Short Hike / ISLANDERS / Gorogoa,"어드벤처, 인디 / 캐주얼, 인디, 전략 / 어드벤처, 캐주얼, 인디",Blockscape,"캐주얼, 인디, RPG, 시뮬레이션, 전략, 앞서 해보기",The ultimate block building game.,,,
