pair_key,프로필,좋아하는_게임,좋아하는_게임_장르,좋아하는_게임_설명,추천_게임,추천_게임_장르,추천_게임_설명,적합도,이유태그,메모
B0001,A02,Iron Brigade / Ancient Planet Tower Defense / Creeper World IXE,"액션, 전략 / 캐주얼, 인디, 전략 / 액션, 캐주얼, 인디, 시뮬레이션, 전략","[Iron Brigade] Join The Mobile Trench Brigade and protect humanity from the evil Monovision menace! ‖ [Ancient Planet Tower Defense] 고대 행성 타워 디펜스는 정통 타워 디펜스 게임입니다. 고대 문명의 요새가 외계 침략자들로부터 침략당했습니다. 고대의 강력한 기술을 사용하여 적군의 공격을 물리치십시오! ‖ [Creeper World IXE] The unstoppable alien force known as The Creeper has returned, devouring thousands of worlds in its path, and yours is next. Battle against the Creeper fluid in a groundbreaking pi",Tower Dominion,전략,"이 특별한 로그라이크 타워 디펜스 게임에서는 외계인의 침략으로부터 요새를 방어하면서, 지형을 건설하고 설계해야 합니다. 30명의 영웅 중에서 선택하고, 적의 범람에서 살아남아, 다양한 파괴적 타워를 업그레이드하며 방어선을 지켜내세요!",,,
B0002,A01,Dordogne / A YEAR OF SPRINGS / Botany Manor,"어드벤처, 인디 / 캐주얼, 인디, 시뮬레이션 / 어드벤처","[Dordogne] 이 유년 시절의 여정에서 특별한 내러티브에 몰입하며 도르도뉴의 수천 가지 여름의 색을 탐험하고, 추억을 떠올리며 가족의 비밀을 밝히세요. ‖ [A YEAR OF SPRINGS] 세 명의 여성, 세 개의 이야기, 세 개의 봄. 세 명의 친구들이 사랑, 공감, 그리고 단지 함께하고 싶어하는 감정에 대한 방향을 찾아나가는 3 부작 비주얼 노벨 A YEAR OF SPRINGS 에서 하루, 에리카, 마나미의 이야기를 체험하세요. ‖ [Botany Manor] Welcome to Botany Manor, a stately home in 19th century England. You play as inhabitant Arabella Greene, a retired botanist. Explore your house and gardens, filled with research, t",Cloud Gardens,"캐주얼, 인디, 시뮬레이션",A chill game about using plants to overgrow abandoned wasteland dioramas,,,
B0003,A05,Still Life / Jenny LeClue - Detectivu / Telling Lies,"어드벤처 / 액션, 어드벤처, 캐주얼, 인디 / 어드벤처, 인디, 시뮬레이션",[Still Life] Still Life 2 also now available! ‖ [Jenny LeClue - Detectivu] Jenny LeClue - Detectivu는 조사와 선택지로 가득한 스릴 넘치는 미스터리 어드벤처 게임입니다. ‖ [Telling Lies] 네 명의 삶. 그리고 하나의 큰 거짓말. 아무도 모르게 녹화된 은밀한 대화를 들으며 진실을 알아내십시오. 큰 호평을 받았던 Her Story의 계승작입니다.,Another Adventure,"어드벤처, 인디",Just another stupid adventure game,,,
B0004,A03,Deck of Ashes / Dicefolk / Cubic Cosmos,"어드벤처, 인디, RPG, 전략 / 캐주얼, 인디, 전략 / 전략","[Deck of Ashes] 덱 오브 애쉬즈(Deck of Ashes)는 전술 카드 전투를 벌이는 어드벤처 게임입니다. 한 번에 한 캐릭터씩 안티히어로 일행을 이끌어 속죄의 여행을 떠나보세요. 저주받은 판타지 세계를 탐험하며 강력한 카드를 찾아보세요. 독특한 전투 덱을 형성하여 적들을 무찌르세요! 잿빛 저주의 세계를 제거하실 수 있겠습니까? ‖ [Dicefolk] 마법 주사위의 힘을 휘두르고 강력한 키메라 팀을 구축해보세요! 수수께끼의 악을 멈추기 위한 택티컬 덱빌딩 로그라이트 모험이 다가오고 있습니다. 키메라 소환사로서, 신화적인 짐승들을 모집하고 완벽한 팀을 만들고, 다이스포크만의 독특한 주사위 메커니즘을 활용하여 승리로 이끌어주세요. ‖ [Cubic Cosmos] Cubic Cosmos is a thrilling fast-paced roguelike card game. You have been trapped in a deadly game. One wrong move could see you reduced to a plaything of the goddess. Can you free",Ash of Gods: Redemption,"어드벤처, 인디, RPG, 전략","애쉬 오브 갓즈: 레뎀션""은 턴제 RPG로, 전술 전투, 카드 수집 요소, 그리고 주인공을 포함해 누구도 죽음을 피할 수 없는 끊임없이 변화하는 이야기를 결합한 게임입니다.",,,
B0005,A04,Vomitoreum / Tales of Kenzera™: ZAU / Shantae: Half-Genie Hero,"액션, 어드벤처, 인디 / 액션, 어드벤처, 인디 / 액션, 어드벤처, 인디","[Vomitoreum] Vomitoreum is an FPS Metroidvania with a focus on atmosphere and horror, inspired by the paintings of Zdzisław Beksiński. ‖ [Tales of Kenzera™: ZAU] 샤먼의 춤을 추세요. 아버지의 영혼을 되찾으세요. Surgent Studios가 제작한 메트로이드바니아 스타일의 어드벤처 게임 Tales of Kenzera™: ZAU에서 죽음의 신과 함께 아름답고 위험한 켄제라의 땅으로 용감하게 모험을 떠나세요. ‖ [Shantae: Half-Genie Hero] Shantae embarks on her first full HD adventure! When a mysterious crime wave sweeps Sequin Land, it’s up to Half-Genie Hero Shantae to save the day! Use Shantae’s devastating Hair-",Turbo Kid,"액션, 어드벤처, 인디","A nostalgic metroidvania adventure with insane weapons, skills, and pixel gore. Ride your BMX and blast your enemies as you discover the secrets of the Wasteland.",,,
B0006,A03,Deck of Ashes / Dicefolk / Cubic Cosmos,"어드벤처, 인디, RPG, 전략 / 캐주얼, 인디, 전략 / 전략","[Deck of Ashes] 덱 오브 애쉬즈(Deck of Ashes)는 전술 카드 전투를 벌이는 어드벤처 게임입니다. 한 번에 한 캐릭터씩 안티히어로 일행을 이끌어 속죄의 여행을 떠나보세요. 저주받은 판타지 세계를 탐험하며 강력한 카드를 찾아보세요. 독특한 전투 덱을 형성하여 적들을 무찌르세요! 잿빛 저주의 세계를 제거하실 수 있겠습니까? ‖ [Dicefolk] 마법 주사위의 힘을 휘두르고 강력한 키메라 팀을 구축해보세요! 수수께끼의 악을 멈추기 위한 택티컬 덱빌딩 로그라이트 모험이 다가오고 있습니다. 키메라 소환사로서, 신화적인 짐승들을 모집하고 완벽한 팀을 만들고, 다이스포크만의 독특한 주사위 메커니즘을 활용하여 승리로 이끌어주세요. ‖ [Cubic Cosmos] Cubic Cosmos is a thrilling fast-paced roguelike card game. You have been trapped in a deadly game. One wrong move could see you reduced to a plaything of the goddess. Can you free",One Deck Dungeon,"어드벤처, 인디, RPG, 전략",The hit roguelike adventure that captures all the fun of a dungeon crawl in a single deck of cards!,,,
B0007,A01,Dordogne / A YEAR OF SPRINGS / Botany Manor,"어드벤처, 인디 / 캐주얼, 인디, 시뮬레이션 / 어드벤처","[Dordogne] 이 유년 시절의 여정에서 특별한 내러티브에 몰입하며 도르도뉴의 수천 가지 여름의 색을 탐험하고, 추억을 떠올리며 가족의 비밀을 밝히세요. ‖ [A YEAR OF SPRINGS] 세 명의 여성, 세 개의 이야기, 세 개의 봄. 세 명의 친구들이 사랑, 공감, 그리고 단지 함께하고 싶어하는 감정에 대한 방향을 찾아나가는 3 부작 비주얼 노벨 A YEAR OF SPRINGS 에서 하루, 에리카, 마나미의 이야기를 체험하세요. ‖ [Botany Manor] Welcome to Botany Manor, a stately home in 19th century England. You play as inhabitant Arabella Greene, a retired botanist. Explore your house and gardens, filled with research, t",Lagoon Lounge : The Poisonous Fountain,"어드벤처, 캐주얼, 인디, 시뮬레이션","수인들이 등장하고, 동성애 요소를 포함한 비주얼 노벨입니다. 당신은 호숫가의 마을로 이사 온 수인이 되어 동료들과 같이 살아가게 됩니다.",,,
B0008,A05,Still Life / Jenny LeClue - Detectivu / Telling Lies,"어드벤처 / 액션, 어드벤처, 캐주얼, 인디 / 어드벤처, 인디, 시뮬레이션",[Still Life] Still Life 2 also now available! ‖ [Jenny LeClue - Detectivu] Jenny LeClue - Detectivu는 조사와 선택지로 가득한 스릴 넘치는 미스터리 어드벤처 게임입니다. ‖ [Telling Lies] 네 명의 삶. 그리고 하나의 큰 거짓말. 아무도 모르게 녹화된 은밀한 대화를 들으며 진실을 알아내십시오. 큰 호평을 받았던 Her Story의 계승작입니다.,The Quintessential Quintuplets - Five Memories Spent With You,어드벤처,I want to confess my feelings for you...,,,
B0009,A04,Vomitoreum / Tales of Kenzera™: ZAU / Shantae: Half-Genie Hero,"액션, 어드벤처, 인디 / 액션, 어드벤처, 인디 / 액션, 어드벤처, 인디","[Vomitoreum] Vomitoreum is an FPS Metroidvania with a focus on atmosphere and horror, inspired by the paintings of Zdzisław Beksiński. ‖ [Tales of Kenzera™: ZAU] 샤먼의 춤을 추세요. 아버지의 영혼을 되찾으세요. Surgent Studios가 제작한 메트로이드바니아 스타일의 어드벤처 게임 Tales of Kenzera™: ZAU에서 죽음의 신과 함께 아름답고 위험한 켄제라의 땅으로 용감하게 모험을 떠나세요. ‖ [Shantae: Half-Genie Hero] Shantae embarks on her first full HD adventure! When a mysterious crime wave sweeps Sequin Land, it’s up to Half-Genie Hero Shantae to save the day! Use Shantae’s devastating Hair-",A Bastard's Tale,"액션, 어드벤처, 인디","A game about parrying, attacking, and overcoming difficult foes",,,
B0010,A05,Still Life / Jenny LeClue - Detectivu / Telling Lies,"어드벤처 / 액션, 어드벤처, 캐주얼, 인디 / 어드벤처, 인디, 시뮬레이션",[Still Life] Still Life 2 also now available! ‖ [Jenny LeClue - Detectivu] Jenny LeClue - Detectivu는 조사와 선택지로 가득한 스릴 넘치는 미스터리 어드벤처 게임입니다. ‖ [Telling Lies] 네 명의 삶. 그리고 하나의 큰 거짓말. 아무도 모르게 녹화된 은밀한 대화를 들으며 진실을 알아내십시오. 큰 호평을 받았던 Her Story의 계승작입니다.,Quarantineer,"어드벤처, 캐주얼, 인디, RPG, 시뮬레이션, 전략","For the glory of Motherland, the truth shall never be revealed. None of us expected this, Yet history is repeating itself.",,,
